Id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
1441,Baba Ka Dhaba,Yes,No,3.7,194,BTM,Quick Bites,"Paratha, Butter Naan, Thali, Tandoori Roti, Lassi",North Indian,400,Delivery
1442,Hot Burg,Yes,No,3.5,51,Bannerghatta Road,Quick Bites,NA,"Fast Food, Juices",200,Delivery
1443,Northern Bites,Yes,No,3.3,50,Bannerghatta Road,Casual Dining,NA,"North Indian, Chinese",400,Delivery
1444,Hotel Smile,Yes,No,3.1,6,Jayanagar,Casual Dining,NA,"North Indian, Chinese",400,Delivery
1445,Roll Wala,Yes,No,3.3,7,JP Nagar,"Takeaway, Delivery",NA,"Rolls, Juices",300,Delivery
1446,Natural Ice Cream,No,No,4.3,423,Bannerghatta Road,Dessert Parlor,"Chocolate Almond, Tender Coconut Ice Cream, Choco Almond, Coffee Walnut, Custard Apple","Ice Cream, Desserts",150,Delivery
1448,F3 Food Fun Fiesta,Yes,No,3.3,31,Bannerghatta Road,"Takeaway, Delivery",NA,"Chinese, Fast Food, North Indian",500,Delivery
1449,Churchills,Yes,Yes,4.1,1403,JP Nagar,"Casual Dining, Pub","Cocktails, Pasta, Hara Bhara Kebab, Peppy Paneer, Paneer Pizza, Peri Peri Prawn, Fiery Paneer","North Indian, Continental",1100,Delivery
1452,Kulkarnis New Uttara Karnataka Food Speciality Stores,Yes,No,3.4,6,JP Nagar,Quick Bites,NA,South Indian,250,Delivery
1453,The Hungers Zone,Yes,No,3.8,57,BTM,Quick Bites,NA,"Fast Food, Italian, Pizza",300,Delivery
1455,The Chocolate Room,Yes,No,3.9,153,JP Nagar,Food Court,"Brownie, Coffee, Hot Chocolate, Garlic Pops, Chocolate Waffles, Chocolate Avalanche","Cafe, Desserts",400,Delivery
1456,Aramane Restaurant,Yes,Yes,2.9,90,Bannerghatta Road,Casual Dining,Afghan Chicken,"North Indian, South Indian, Seafood, Biryani, Chinese",800,Delivery
1457,Cookie Man,Yes,No,0,0,Bannerghatta Road,Dessert Parlor,NA,Bakery,150,Delivery
1458,Hunger2Eat,Yes,No,3.8,27,BTM,Quick Bites,NA,"Biryani, Fast Food, North Indian",400,Delivery
1459,BBQ Ride 46,Yes,No,3.4,7,South Bangalore,Food Truck,NA,BBQ,200,Delivery
1460,Bawarchi Inn,Yes,No,3.1,140,BTM,Casual Dining,"Dum Biryani, Chicken Biryani, Rice, Roti, Mutton Biryani","North Indian, Biryani, Andhra, Chinese",600,NA
1462,Ruhs Cafe,Yes,No,4.1,463,BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese",500,Delivery
1463,Eatery Have U Been,Yes,No,3.4,36,BTM,"Cafe, Quick Bites",NA,"Cafe, Chinese, Fast Food, Burger, North Indian",500,Delivery
1464,Mojo Pizza  2X Toppings,Yes,No,4.2,384,Bannerghatta Road,"Takeaway, Delivery","Chocolava Cake, Pepperoni Pizza, Veggie Pizza, Bbq Chicken, Paneer Tikka, Cheesy Garlic Bread, Cheese Burst Crust",Pizza,600,Delivery
1465,Upahar Banashree,Yes,No,3.4,18,Bannerghatta Road,Quick Bites,NA,"South Indian, North Indian",400,Delivery
1466,Petoo,Yes,No,0,0,BTM,Quick Bites,NA,"North Indian, Fast Food, Beverages",400,Delivery
1467,Me And My Cake,Yes,No,3.1,8,JP Nagar,Takeaway,NA,"Bakery, Desserts",500,Delivery
